index,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback,avg_set_margin,tiebreak_count,lead_changes,bp_saved_ratio,bp_total
142276,US Open,20060828,F,145.0,6-2 4-6 7-5 6-1,Roger Federer,Andy Roddick,0.6435897435897435,0,3.25,1,2,0.6666666666666666,24.0
132645,Australian Open,20030113,SF,139.0,7-5 2-6 6-3 6-3,Rainer Schuettler,Andy Roddick,0.6412280701754385,0,3.0,1,2,0.5789473684210527,19.0
157931,US Open,20110829,F,250.0,6-2 6-4 6-7(3) 6-1,Novak Djokovic,Rafael Nadal,0.6394308943089431,0,3.0,1,2,0.5609756097560976,41.0
142463,Australian Open,20060116,SF,160.0,6-3 5-7 6-0 6-2,Roger Federer,Nicolas Kiefer,0.636231884057971,0,3.75,1,2,0.6956521739130435,23.0
184961,Wimbledon,20210628,SF,157.0,6-3 6-0 6-7(3) 6-4,Matteo Berrettini,Hubert Hurkacz,0.6333333333333333,0,3.0,1,2,0.5,12.0
160082,Roland Garros,20120527,F,229.0,6-4 6-3 2-6 7-5,Rafael Nadal,Novak Djokovic,0.6316498316498316,0,2.75,1,2,0.4074074074074074,27.0
192181,Australian Open,20240115,SF,202.0,6-1 6-2 6-7(6) 6-3,Jannik Sinner,Novak Djokovic,0.6314685314685314,0,3.25,1,2,0.5454545454545454,11.0
190356,Roland Garros,20230529,SF,204.0,6-3 5-7 6-1 6-1,Novak Djokovic,Carlos Alcaraz,0.6291666666666667,0,3.75,1,2,0.625,24.0
180347,Roland Garros,20190527,F,181.0,6-3 5-7 6-1 6-1,Rafael Nadal,Dominic Thiem,0.619298245614035,0,3.75,1,2,0.5263157894736842,19.0
155727,Australian Open,20110117,SF,180.0,7-6(3) 7-5 6-4,Novak Djokovic,Roger Federer,0.6166666666666667,0,1.6666666666666667,2,0,0.6666666666666666,24.0
189220,Australian Open,20230116,F,176.0,6-3 7-6(4) 7-6(5),Novak Djokovic,Stefanos Tsitsipas,0.6125,0,1.6666666666666667,2,0,0.625,8.0
129237,US Open,20020826,SF,141.0,7-6(6) 7-6(4) 6-2,Pete Sampras,Sjeng Schalken,0.605,0,2.0,2,0,0.8,10.0
151525,Wimbledon,20090622,SF,123.0,7-6(3) 7-5 6-3,Roger Federer,Tommy Haas,0.6000000000000001,0,2.0,2,0,0.75,8.0
169098,Wimbledon,20150629,SF,,7-5 7-5 6-4,Roger Federer,Andy Murray,0.5977272727272728,0,2.0,2,0,0.7272727272727273,11.0
190358,Roland Garros,20230529,F,194.0,7-6(1) 6-3 7-5,Novak Djokovic,Casper Ruud,0.5964285714285714,0,2.0,2,0,0.7142857142857143,14.0
148714,Australian Open,20080114,SF,146.0,7-5 6-3 7-6(5),Novak Djokovic,Roger Federer,0.595,0,2.0,2,0,0.7,20.0
182640,Us Open,20200831,SF,176.0,6-2 7-6(7) 7-6(5),Dominic Thiem,Daniil Medvedev,0.5916666666666667,0,2.0,2,0,0.6666666666666666,18.0
132331,Wimbledon,20030623,F,116.0,7-6(5) 6-2 7-6(3),Roger Federer,Mark Philippoussis,0.585,0,2.0,2,0,0.6,5.0
151841,Australian Open,20090119,SF,125.0,6-2 7-5 7-5,Roger Federer,Andy Roddick,0.5687500000000001,0,2.6666666666666665,2,0,0.75,16.0
177660,Roland Garros,20180528,SF,137.0,7-5 7-6(10) 6-1,Dominic Thiem,Marco Cecchinato,0.5604166666666667,0,2.6666666666666665,2,0,0.6666666666666666,15.0
170532,Australian Open,20160118,F,173.0,6-1 7-5 7-6(3),Novak Djokovic,Andy Murray,0.5548611111111111,0,2.6666666666666665,2,0,0.6111111111111112,18.0
145439,US Open,20070827,SF,138.0,7-5 6-1 7-5,Roger Federer,Nikolay Davydenko,0.5474358974358975,0,3.0,2,0,0.6410256410256411,39.0
129427,Australian Open,20020114,F,173.0,3-6 6-4 6-4 7-6(4),Thomas Johansson,Marat Safin,0.5449999999999999,0,2.0,1,1,0.7,20.0
163310,Wimbledon,20130624,SF,172.0,6-7(2) 6-4 6-4 6-3,Andy Murray,Jerzy Janowicz,0.5449999999999999,0,2.0,1,1,0.7,20.0
187687,Wimbledon,20220627,F,181.0,4-6 6-3 6-4 7-6(3),Novak Djokovic,Nick Kyrgios,0.5449999999999999,0,2.0,1,1,0.7,10.0
129109,Wimbledon,20020624,SF,139.0,7-5 6-1 7-5,Lleyton Hewitt,Tim Henman,0.5433333333333333,0,3.0,2,0,0.6,20.0
148716,Australian Open,20080114,F,185.0,4-6 6-4 6-3 7-6(2),Novak Djokovic,Jo-Wilfried Tsonga,0.5397058823529411,0,2.0,1,1,0.6470588235294118,17.0
184962,Wimbledon,20210628,F,204.0,6-7(4) 6-4 6-4 6-3,Novak Djokovic,Matteo Berrettini,0.5386363636363636,0,2.0,1,1,0.6363636363636364,22.0
160349,Wimbledon,20120625,F,204.0,4-6 7-5 6-3 6-4,Roger Federer,Andy Murray,0.5295321637426901,0,2.25,1,1,0.6842105263157895,19.0
175606,US Open,20170828,SF,175.0,4-6 7-5 6-3 6-4,Kevin Anderson,Pablo Carreno Busta,0.5277777777777778,0,2.25,1,1,0.6666666666666666,18.0
172720,US Open,20160829,SF,187.0,4-6 7-5 6-4 6-2,Stan Wawrinka,Kei Nishikori,0.5107142857142858,0,2.5,1,1,0.6071428571428571,28.0
184833,Roland Garros,20210531,SF,251.0,3-6 6-3 7-6(4) 6-2,Novak Djokovic,Rafael Nadal,0.504066985645933,0,2.75,1,1,0.631578947368421,38.0
141991,Roland Garros,20060529,F,182.0,1-6 6-1 6-4 7-6(4),Rafael Nadal,Roger Federer,0.49510489510489514,0,3.25,1,1,0.6818181818181818,22.0
165979,Roland Garros,20140526,F,211.0,3-6 7-5 6-2 6-4,Rafael Nadal,Novak Djokovic,0.49354066985645934,0,2.75,1,1,0.5263157894736842,19.0
157221,Wimbledon,20110620,SF,179.0,5-7 6-2 6-2 6-4,Rafael Nadal,Andy Murray,0.48333333333333334,0,3.0,1,1,0.5,12.0
145156,Roland Garros,20070528,F,190.0,6-3 4-6 6-3 6-4,Rafael Nadal,Roger Federer,0.4814814814814815,0,2.5,0,2,0.8148148148148148,27.0
135375,Roland Garros,20040524,SF,167.0,3-6 6-4 6-0 7-5,Guillermo Coria,Tim Henman,0.46858974358974365,0,3.25,1,1,0.4166666666666667,24.0
128951,Roland Garros,20020527,SF,190.0,6-3 6-4 3-6 6-3,Albert Costa,Alex Corretja,0.4638820638820639,0,2.75,0,2,0.7297297297297297,37.0
